qid,query,n_words,n_verbs,n_nouns,verbs,nouns,split
8675,Man with baseball cap talks in parked car.,8,1,5,parked,Man|baseball|cap|talks|car,val
10006,Trump and Pence are speaking in front of different podiums.,10,1,4,speaking,Trump|Pence|front|podiums,val
623,A seating area is located outside and is made up of circular stools and tables.,15,2,4,located|made,seating|area|stools|tables,val
972,Man wears a black sleeveless shirt while walking with his girlfriend.,11,2,3,wears|walking,Man|shirt|girlfriend,val
3164,Man in black shirt talks in a gyro restaurant.,9,0,5,,Man|shirt|talks|gyro|restaurant,val
9554,Rapist being sentenced in court,5,1,2,sentenced,Rapist|court,val
9746,A woman visits a graveyard.,5,1,2,visits,woman|graveyard,val
10099,Woman is wearing a beige headwrap.,6,1,2,wearing,Woman|headwrap,val
9266,Devastating scenes of flooding after heavy rain fall,8,0,4,,scenes|flooding|rain|fall,val
1906,A family set up camp by a river,8,1,3,set,family|camp|river,val
4242,Women in red top makes the food outdoors.,8,1,3,makes,Women|top|food,val
4281,Man and woman show different things from their pantry.,9,1,4,show,Man|woman|things|pantry,val
2355,A panel is talking in a auditorium.,7,1,2,talking,panel|auditorium,val
3576,A man is playing an instrument in the stage.,9,1,3,playing,man|instrument|stage,val
5764,A large group of people have their phones up.,9,1,3,have,group|people|phones,val
296,A woman is looking out over a misty valley through some trees.,12,1,4,looking,woman|misty|valley|trees,val
4135,Woman showing the content of a plastic basket,8,1,3,showing,Woman|content|basket,val
4884,A blonde woman is walking in the rain under a green floral umbrella.,13,1,3,walking,woman|rain|umbrella,val
8859,Different cards are on display on a shelf.,8,0,3,,cards|display|shelf,val
2822,White American girl having fun in Nigeria at Festival,9,1,4,having,girl|fun|Nigeria|Festival,val
3629,Three men talk and make gestures near an outdoor structure.,10,2,3,talk|make,men|gestures|structure,val
6206,Man in yellow top receives medical attention.,7,1,3,receives,Man|top|attention,val
237,Woman is working out to the mirror.,7,1,2,working,Woman|mirror,val
1261,The woman is walking around in a nearly empty basketball arena.,11,1,3,walking,woman|basketball|arena,val
3851,The woman in the purple sports bra does some stretches facing the mirror on the wall.,16,2,6,does|facing,woman|sports|bra|stretches|mirror|wall,val
7348,A woman is getting a tour of the empty LA Lakers stadium decorating in purple and gold.,17,2,7,getting|decorating,woman|tour|LA|Lakers|stadium|purple|gold,val
1842,A group of photos and small trinkets are on display in a museum.,13,0,5,,group|photos|trinkets|display|museum,val
1938,"Places to visit in Oban ,Scotland",6,1,3,visit,Places|Oban|Scotland,val
8206,Map shows where Scotland is.,5,1,2,shows,Map|Scotland,val
411,Family photos and videos of Disney World are shown.,9,1,5,shown,Family|photos|videos|Disney|World,val
2861,A couple's selfie video about their visit to Magic Kingdom,10,0,6,,couple|selfie|video|visit|Magic|Kingdom,val
3747,Tourist couple giving reviews on food and rides,8,1,5,giving,Tourist|couple|reviews|food|rides,val
8309,A woman in a black blouse and a man in a pink t-shirt are talking in front of the camera,20,1,7,talking,woman|blouse|man|t|shirt|front|camera,val
8824,A couple are talking and showing the food and drink they had in the restaurant.,15,4,3,talking|showing|drink|had,couple|food|restaurant,val
9236,News reader talk glacier disaster,5,1,3,talk,News|reader|disaster,val
1836,A couple are about to have a Ukrainian food dinner,10,1,3,have,couple|food|dinner,val
5394,A man in a backwards cap is visiting various stone monuments.,11,1,4,visiting,man|cap|stone|monuments,val
3247,A guy showing a car boot,6,1,3,showing,guy|car|boot,val
3354,A man next to a small red car talking to the camera.,12,1,3,talking,man|car|camera,val
4240,The dashboard of the car when it's driving.,8,1,2,driving,dashboard|car,val
873,A man is giving a tour of the cruise ship rooms.,11,1,5,giving,man|tour|cruise|ship|rooms,val
2208,An excited young man gives a cabin tour on their overnight ferry,12,1,4,gives,man|cabin|tour|ferry,val
6441,Four people having some drinks at a restaurant while two of them talk to the camera,16,2,4,having|talk,people|drinks|restaurant|camera,val
9544,Responders wearing bright colored vests are working in the field.,10,2,3,wearing|working,Responders|vests|field,val
10117,MAn with black overcoat stands in front of a tower at night.,12,1,5,stands,MAn|overcoat|front|tower|night,val
10132,Two TV show hosts sit on a red couch and discuss the news.,13,2,5,sit|discuss,TV|show|hosts|couch|news,val
9510,A large yellow building complex is in the background as tear gas is launched towards it dispursing the crwods there.,20,2,5,launched|dispursing,building|complex|background|gas|crwods,val
456,Chef puts food into tupperware.,5,1,3,puts,Chef|food|tupperware,val
2556,Indian Girl cleaning her kitchen before cooking,7,2,2,cleaning|cooking,Girl|kitchen,val
2669,Indian girl making Cauliflower in Indian style,7,1,3,making,girl|Cauliflower|style,val
7271,A woman is adding flour and stock to a metal pan to make a base for a dish.,18,2,7,adding|make,woman|flour|stock|metal|pan|base|dish,val
7571,Woman fries cauliflower in a saute pan.,7,1,4,cauliflower,Woman|fries|saute|pan,val
682,Woman with yellow shirt leans back in her chair.,9,1,3,leans,Woman|shirt|chair,val
4512,Woman wears mirror sunglasses in her plane seat.,8,1,5,wears,Woman|mirror|sunglasses|plane|seat,val
3388,Road view from a moving car's mirror,7,1,4,moving,Road|view|car|mirror,val
4287,"Indian woman inside a car with her seat belt on, talking to the camera while his husband drives.",18,2,6,talking|drives,woman|car|seat|belt|camera|husband,val
6419,"While a man drives a car, him and and wife chat amongst each other.",14,2,3,drives|chat,man|car|wife,val
9140,Boy is working on their laptop in the car.,9,1,2,working,laptop|car,val
686,Woman gives a monologue lying in bed.,7,2,3,gives|lying,Woman|monologue|bed,val
2093,A lady's video before the take-off of a plane,9,0,5,,lady|video|take|off|plane,val
2309,A traveller on the way to airport from a car and witnessing empty roads,14,1,5,witnessing,traveller|way|airport|car|roads,val
532,Man turns to talk to the camera in a parked car.,11,3,3,turns|talk|parked,Man|camera|car,val
1395,A man shows us what a car can do.,9,2,2,shows|do,man|car,val
3602,Four cars are shown in a split screen.,8,1,2,shown,cars|screen,val
7138,A man is kneeling beside his white Tesla brand car.,10,1,4,kneeling,man|Tesla|brand|car,val
7398,A man is showing the large black rims on a white sports car.,13,1,4,showing,man|rims|sports|car,val
851,People are skiing and snowboarding down a mountain.,8,2,2,skiing|snowboarding,People|mountain,val
965,People walking and sandboarding on some Dunes,7,2,2,walking|sandboarding,People|Dunes,val
6778,The Black Canyon National Park can be seen from a high altitude featuring tall and sheer cliff edges.,18,2,7,seen|featuring,Black|Canyon|National|Park|altitude|cliff|edges,val
4723,girl in black she is in super market enjoying in shopping and eating.,13,2,4,enjoying|eating,girl|black|market|shopping,val
5783,Woman poses next to golden balloon letters.,7,1,3,poses,Woman|balloon|letters,val
8173,Friends hug each other on the bed.,7,1,2,hug,Friends|bed,val
1950,A couple amazed by the view of the room they checked in,12,1,3,checked,couple|view|room,val
2008,A man explains the process of travelling to the Philippines with his mother who is researching on a laptop.,19,3,5,explains|travelling|researching,man|process|Philippines|mother|laptop,val
7783,Man sits next to woman working on their laptop.,9,2,3,sits|working,Man|woman|laptop,val
1960,Two girls checking out tamarind in a store,8,1,3,checking,girls|tamarind|store,val
3070,Different works of art are shown around Los Angeles.,9,1,4,shown,works|art|Los|Angeles,val
4370,Girls sharing some beautiful scenes during the drive,8,1,3,sharing,Girls|scenes|drive,val
3030,A woman recording her trip to the shopping festival.,9,1,4,recording,woman|trip|shopping|festival,val
4237,Display of different foods in Dubai,6,0,3,,Display|foods|Dubai,val
4673,Water is running by the pier.,6,1,2,running,Water|pier,val
395,Woman holds her a lobster coffee mug.,7,1,4,holds,Woman|lobster|coffee|mug,val
4837,Woman makes herself a sandwich.,5,1,2,makes,Woman|sandwich,val
5250,A person makes a gift package while sitting at a table.,11,2,4,makes|sitting,person|gift|package|table,val
7314,Woman is wearing a large red scarf.,7,1,2,wearing,Woman|scarf,val
8294,a woman shows the camera an enamel pin,8,1,4,shows,woman|camera|enamel|pin,val
1070,People are riding on motorcycles.,5,1,2,riding,People|motorcycles,val
3476,Man wears headphones around his neck while on the bus with his friend.,13,1,5,wears,Man|headphones|neck|bus|friend,val
5826,Man goes shopping for cigars.,5,2,2,goes|shopping,Man|cigars,val
9376,BLM protestor chanting there slogans,5,1,3,chanting,BLM|protestor|slogans,val
1254,Students showing some of the buildings at their school.,9,1,3,showing,Students|buildings|school,val
1555,The two women are walking outdoors while chatting.,8,2,1,walking|chatting,women,val
6226,Dash cam view of a car in travel.,8,0,5,,Dash|cam|view|car|travel,val
2302,A view of beach surrounded by mountains in Cape Town,10,1,5,surrounded,view|beach|mountains|Cape|Town,val
6700,A video showing different color of houses,7,1,3,showing,video|color|houses,val
6742,Woman is showing attraction in the city from first person point of view.,13,1,6,showing,Woman|attraction|city|person|point|view,val
1046,Man in black leans on a chair.,7,0,3,,Man|leans|chair,val
3260,Tourist family checking out of airt port,7,1,4,checking,Tourist|family|airt|port,val
5518,Man and kids do pushups on the floor.,8,1,4,do,Man|kids|pushups|floor,val
2967,Berries are placed in a glass bowl on the counter to be added to a dish.,16,2,5,placed|added,Berries|glass|bowl|counter|dish,val
5301,A woman is showing her bowl of mixed berries.,9,1,3,showing,woman|bowl|berries,val
5986,A young woman shows her kitchen and starts preparing grapefruit water,11,3,4,shows|starts|preparing,woman|kitchen|grapefruit|water,val
7319,A black woman in black is review a yellow drink in a bottle that she bought.,16,2,4,review|bought,woman|black|drink|bottle,val
8586,a woman shows a salad to the camera,8,1,3,shows,woman|salad|camera,val
3277,A young girl in a gray t shirt is doing her morning routine.,13,1,5,doing,girl|t|shirt|morning|routine,val
4338,A teenage girl in braces is walking along the beach near palm trees.,13,1,5,walking,girl|braces|beach|palm|trees,val
6442,A young girl is drinking Starbucks shake drink while talking to the camera.,13,2,5,drinking|talking,girl|Starbucks|shake|drink|camera,val
5614,Woman monologues while lying in bed.,6,2,2,monologues|lying,Woman|bed,val
6411,The young woman shows the cover of the book she's reading and the view from the poolside.,17,2,5,shows|reading,woman|cover|book|view|poolside,val
8006,Woman gets in the car while carrying coffee.,8,2,3,gets|carrying,Woman|car|coffee,val
4349,The food counter of a restaurant and the bag left on it.,12,1,4,left,food|counter|restaurant|bag,val
6472,Underwater views of whale sharks and people swimming with them.,10,1,3,swimming,views|sharks|people,val
6879,A man in a safety helmet stands near a pool of water in the jungle.,15,1,6,stands,man|safety|helmet|pool|water|jungle,val
1596,Two girls walk across a balance beam repeatedly.,8,1,3,walk,girls|balance|beam,val
2763,A construction-minded toddler tries to build a skyscraper,8,2,3,tries|build,construction|toddler|skyscraper,val
3924,"A man plays with a child, together they build a tower.",11,2,3,plays|build,man|child|tower,val
7424,Two girls and a dad stir batter on the counter.,10,1,4,stir,girls|dad|batter|counter,val
8799,Two little girls are helping out putting the ingredients together and stir them.,13,3,2,helping|putting|stir,girls|ingredients,val
2873,A lady taking about her beauty products,7,1,3,taking,lady|beauty|products,val
6002,A woman in white hoodie is talking about her shoes in front of the camera,15,1,6,talking,woman|white|hoodie|shoes|front|camera,val
6234,A girl is getting ready for her 1st day of collage,11,1,3,getting,girl|day|collage,val
8609,"A woman is wearing a pink top, white shorts and showing off her whole outfit.",15,2,3,wearing|showing,woman|shorts|outfit,val
8632,A girl is showing her new shoes and cloths that she purchased online,13,2,3,showing|purchased,girl|shoes|cloths,val
9558,Man gives a speech behind a red podium.,8,1,3,gives,Man|speech|podium,val
10075,Man is delivering a speech in front of a red podium.,11,1,4,delivering,Man|speech|front|podium,val
10306,Man from a red podium speaks in front of a crowd.,11,1,4,speaks,Man|podium|front|crowd,val
2834,A baby's funny moments before having food,7,1,3,having,baby|moments|food,val
3888,YouTube subscribe button is in the bottom left.,8,0,4,,YouTube|subscribe|button|bottom,val
5317,Woman holds a cup of coffee.,6,1,3,holds,Woman|cup|coffee,val
6995,A woman is holding up a tray full of sections of tiny herbs.,13,1,4,holding,woman|tray|sections|herbs,val
8764,A little girl with pink coat is playing on the trampoline,11,1,3,playing,girl|coat|trampoline,val
738,A woman eating burgers from a place with red wrappers.,10,1,4,eating,woman|burgers|place|wrappers,val
4181,Man stands in front of a wall with butterflies on the wall.,12,1,5,stands,Man|front|wall|butterflies|wall,val
5415,A man is petting and feeding his black and white cat.,11,2,2,petting|feeding,man|cat,val
9185,Indian broadcaster reports about causes of forest fire in Utter Akhund India,12,1,7,reports,broadcaster|causes|forest|fire|Utter|Akhund|India,val
2160,A couple chilling on a beach sand,7,1,3,chilling,couple|beach|sand,val
4474,Man and woman stand in front of a circular siver sculpture.,11,1,5,stand,Man|woman|front|siver|sculpture,val
8239,Man and woman lie in bed together.,7,1,3,lie,Man|woman|bed,val
1632,A gut interviewing two girls for a TV program,9,1,4,interviewing,gut|girls|TV|program,val
3770,Three people are sitting in a talk show.,8,1,3,sitting,people|talk|show,val
4941,Man with blue turban talks in front of a group of women.,12,0,5,,Man|talks|front|group|women,val
848,A shark is swimming underwater.,5,1,2,swimming,shark|underwater,val
5388,A whale shark is swimming near the surface of green waters.,11,1,4,swimming,whale|shark|surface|waters,val
6794,A video showing cities in Philippines,6,1,3,showing,video|cities|Philippines,val
9548,Cars are moving in the distant fog with their headlights on.,11,1,4,moving,Cars|distant|fog|headlights,val
9646,Man with glasses gives a summary in the studio,9,1,4,gives,Man|glasses|summary|studio,val
9819,A woman in a blue dress is speaking in front of a display of blue banners with stars on them.,20,1,6,speaking,woman|dress|front|display|banners|stars,val
2428,The driver's view of a motorcycle in transit.,8,0,4,,driver|view|motorcycle|transit,val
2441,Drivers view of a motorcycle is in motion.,8,1,3,view,Drivers|motorcycle|motion,val
3669,A man is showing off features on a white tricycle style motorcycle.,12,1,5,showing,man|features|tricycle|style|motorcycle,val
7234,Dash cam view of  motorcycle parked at a crosswalk.,9,1,5,parked,Dash|cam|view|motorcycle|crosswalk,val
8396,A man is driving fast on the motorway on the bike.,11,1,3,driving,man|motorway|bike,val
2232,Human nature to compare things,5,1,2,compare,nature|things,val
4564,A woman talking and moving her arm in front of a sea background,13,2,5,talking|moving,woman|arm|front|sea|background,val
6356,"As a woman describes the Valley of Rocks, the feral goats get closer and closer",15,2,4,describes|get,woman|Valley|Rocks|goats,val
689,Woman wearing Yankees hat lies on a towel on the beach.,11,2,5,wearing|lies,Woman|Yankees|hat|towel|beach,val
2136,Couple enjoying at pukka shell beach Philippines,7,1,5,enjoying,Couple|pukka|shell|beach|Philippines,val
2257,a drone video the beach resort in the phillippines is shown then a man with no shirt and sunglasses is talking in front of camera,25,2,10,shown|talking,drone|video|beach|resort|phillippines|man|shirt|sunglasses|front|camera,val
10137,Money is left behind on the street.,7,1,2,left,Money|street,val
401,A man in a blue baseball cap is sitting while his son hangs on his back.,16,2,5,sitting|hangs,man|baseball|cap|son|back,val
453,Boy stands in the corner of the room.,8,1,2,stands,corner|room,val
5987,Mom holds and feeds her baby milk.,7,2,3,holds|feeds,Mom|baby|milk,val
6953,A man is letting a child play with his kindle book reader.,12,2,5,letting|play,man|child|kindle|book|reader,val
1400,Teen girl does her skin care routine.,7,1,4,does,girl|skin|care|routine,val
1440,Teen girl in sweatshirt looks sits in front of her laptop looking stressed.,13,2,6,sits|stressed,girl|sweatshirt|looks|front|laptop|looking,val
9898,Graphics showing that the program will be discussing covid.,9,2,2,showing|discussing,Graphics|program,val
10143,A man and group of men in white sing and play music together.,13,1,5,play,man|group|men|sing|music,val
10160,Man and woman sit on opposite sides of a circle desk.,11,1,5,sit,Man|woman|sides|circle|desk,val
3819,The woman pours butter on top of the pie and spreads the melted butter.,14,2,5,pours|spreads,woman|butter|top|pie|butter,val
5038,Woman eats food from a casserole.,6,1,3,eats,Woman|food|casserole,val
6212,Chef cooks peaches in a pot.,6,2,2,cooks|peaches,Chef|pot,val
7549,A woman is speaking offscreen while multiple items can be seen being blended in a blender.,16,3,3,speaking|seen|blended,woman|items|blender,val
8470,Boy is holding a ice cream cone.,7,1,3,holding,ice|cream|cone,val
1117,Some people of different ages having fun at a pool.,10,1,4,having,people|ages|fun|pool,val
3111,Indian family having fun in pool,6,1,3,having,family|fun|pool,val
7773,Dash cam view of a car travelling through a city.,10,1,5,travelling,Dash|cam|view|car|city,val
9715,A male journalist talks to a group offering shelter to orphaned children of ISIS fighters.,15,3,6,talks|offering|orphaned,journalist|group|shelter|children|ISIS|fighters,val
9969,Gunfire and explosions show the horrors of war.,8,1,4,show,Gunfire|explosions|horrors|war,val
9982,Dash cam footage of police officers performing a traffic stop before shooting.,12,2,7,performing|shooting,Dash|cam|footage|police|officers|traffic|stop,val
318,Girl in gray hat is looking at makeup.,8,1,3,looking,Girl|hat|makeup,val
1548,The girl is riding a train while wearing a pink wool hat.,12,2,4,riding|wearing,girl|train|wool|hat,val
4808,Woman monologues sitting in her couch.,6,2,2,monologues|sitting,Woman|couch,val
7483,A collection of clear candles with flowers embedded inside them sit on a table.,14,2,4,embedded|sit,collection|candles|flowers|table,val
8394,A girl is showing the carnival  shops,7,1,3,showing,girl|carnival|shops,val
3303,Indian family making film of there tour inside India and sharing some beautiful scenes,14,2,5,making|sharing,family|film|tour|India|scenes,val
6412,The little kids ride around in a toy jeep.,9,1,3,ride,kids|toy|jeep,val
8135,Woman carries a baby while walking.,6,2,2,carries|walking,Woman|baby,val
360,Plastic bags are tied on top.,6,1,2,tied,bags|top,val
4066,A kid playing with his toys,6,1,2,playing,kid|toys,val
5286,Two men talk whilst sat at a desk with a child.,11,2,3,talk|sat,men|desk|child,val
1135,Musicians are jumping on stage.,5,1,2,jumping,Musicians|stage,val
3369,Different scenes are shown as a song is played.,9,2,2,shown|played,scenes|song,val
6474,A celebrity singer sings in a music video-like clip,9,0,6,,celebrity|singer|sings|music|video|clip,val
9132,A video showing a day life of a famous DJ,10,1,4,showing,video|day|life|DJ,val
2506,Woman rides in the car with headwrap and scarf.,9,1,4,rides,Woman|car|headwrap|scarf,val
545,A woman is showing her various bottles of supplements in black bottles with white labels.,15,1,5,showing,woman|bottles|supplements|bottles|labels,val
2942,Young American girl sharing her stuff on camera,8,1,3,sharing,girl|stuff|camera,val
3980,Woman points to the food on her kitchen counter.,9,1,4,points,Woman|food|kitchen|counter,val
8424,Woman shows the items in her purse.,7,1,3,shows,Woman|items|purse,val
8807,A woman in a white top is describing her routine when she is back home.,15,1,2,describing,woman|top,val
4648,Large group of people sit in fields.,7,1,3,sit,group|people|fields,val
2046,"a woman with stripe shirt is being driven to the airport, boards a plane then arrives at destination and checks in at hotel",23,3,8,driven|boards|arrives,woman|stripe|shirt|airport|plane|destination|checks|hotel,val
3021,A young woman with blond hair showing all the clothes and shoes she has in her closet.,17,2,5,showing|has,woman|hair|clothes|shoes|closet,val
9670,Man is looking at a large plaque.,7,1,2,looking,Man|plaque,val
9728,Old man speaks next to plaques.,6,1,2,speaks,man|plaques,val
9842,Two men are walking next to a river.,8,1,2,walking,men|river,val
3696,A young man standing in front of a whiteboard teaching a class.,12,2,4,standing|teaching,man|front|whiteboard|class,val
4801,Man in baseball cap gives a speech in front of a projection screen.,13,1,7,gives,Man|baseball|cap|speech|front|projection|screen,val
4806,A man in an orange adidas shirts speaks for a nearby crowd.,12,1,4,speaks,man|adidas|shirts|crowd,val
5450,Man is talking on the same spot of a busy sidewalk.,11,1,3,talking,Man|spot|sidewalk,val
6380,A man in black t-shirt and wearing a hat is talking in front of many people then change to a man in black t-shirt talking to the people afterwards change to a man in white t-shirt and wearing a hat talking in front of people,45,7,16,wearing|talking|change|talking|change|wearing|talking,man|t|shirt|hat|front|people|man|t|shirt|people|man|t|shirt|hat|front|people,val
6392,People in a crowd during a meting raising their hands,10,1,4,raising,People|crowd|meting|hands,val
7307,Man in baseball cap is being interviewed by a brick wall.,11,1,5,interviewed,Man|baseball|cap|brick|wall,val
8289,A man in a white T-shirt wearing a green baseball cap gives a talk to a number of people.,19,2,8,wearing|gives,man|T|shirt|baseball|cap|talk|number|people,val
491,A woman is sharing her daily routines,7,1,2,sharing,woman|routines,val
2419,Woman with glasses and a white sweater sits on her bed and speaks to the camera.,16,2,5,sits|speaks,Woman|glasses|sweater|bed|camera,val
5194,"The woman is preparing a bowl of cereal, honey and bananas.",11,1,5,preparing,woman|bowl|cereal|honey|bananas,val
6948,A woman has her head resting over a counter with her arms crossed in front of her.,17,3,5,has|resting|crossed,woman|head|counter|arms|front,val
7515,Woman talks to camera leaning forward on the counter.,9,2,3,talks|leaning,Woman|camera|counter,val
366,The girl in the white shirt gives the dog a bath in the sink.,14,1,5,gives,girl|shirt|dog|bath|sink,val
2894,Girl having chat with her cute puppy,7,1,2,chat,Girl|puppy,val
4777,A full dinner buffet is on the table.,8,0,3,,dinner|buffet|table,val
7244,The Christmas tree is pink.,5,0,2,,Christmas|tree,val
8949,A young girl sitting on a chair holding her dog and plays with her as she talks,17,4,3,sitting|holding|plays|talks,girl|chair|dog,val
4687,Two females observe a tourist attraction in Japan in the fall.,11,1,5,observe,females|tourist|attraction|Japan|fall,val
7925,Woman holds fruit on a stick then eats it.,9,2,3,holds|eats,Woman|fruit|stick,val
687,Cup of food is sitting on the counter.,8,1,3,sitting,Cup|food|counter,val
2158,Couple giving some review of new drink in vlog,9,1,4,giving,Couple|review|drink|vlog,val
6741,A woman in black blouse and a man in blue t-shirt are talking in front of a camera,18,1,8,talking,woman|blouse|man|blue|t|shirt|front|camera,val
5475,Woman are drinking coffee together.,5,1,2,drinking,Woman|coffee,val
5606,A woman speaks while standing in a room.,8,2,2,speaks|standing,woman|room,val
5633,Two friends show their lunch and the view by the beach before eating.,13,2,4,show|eating,friends|lunch|view|beach,val
9212,A man enthusiastically compares the 2005 and 2020 hurricane seasons,10,1,3,compares,man|hurricane|seasons,val
1675,A young man with green hair smokes while using an app.,11,1,4,using,man|hair|smokes|app,val
4041,A man in a red tank top is smoking from a bong.,12,1,4,smoking,man|tank|top|bong,val
4094,Man makes a cocktail and drinks it.,7,2,2,makes|drinks,Man|cocktail,val
6903,Man with fur coat drives a car at night.,9,1,5,drives,Man|fur|coat|car|night,val
6966,Woman preforms a routine with a hula hoop.,8,1,3,preforms,Woman|routine|hoop,val
3264,Cursive writing is shown over the videos.,7,1,2,shown,writing|videos,val
4505,View of the crowd walking down below.,7,1,2,walking,View|crowd,val
7685,Woman films herself wearing lingerie in the bathroom.,8,2,3,films|wearing,Woman|lingerie|bathroom,val
9633,More than 1/3 of the students in a New Jersey public high school class of 2019 is in the honor society,21,0,7,,students|New|Jersey|school|class|honor|society,val
9934,People in white are walking down the street.,8,1,2,walking,People|street,val
10261,Man in standing in a white building's courtyard.,8,1,3,standing,Man|building|courtyard,val
4705,Man with leather jacket eats ice cream.,7,1,5,eats,Man|leather|jacket|ice|cream,val
4776,A man sitting down at a French cafe and enjoying a sandwich there.,13,2,3,sitting|enjoying,man|cafe|sandwich,val
5833,A person demonstrates a wooden chair that swivels.,8,1,3,demonstrates,person|chair|swivels,val
3374,A video captured from a vehicles's window,7,1,3,captured,video|vehicles|window,val
4540,A group of people are sailing on a boat.,9,1,3,sailing,group|people|boat,val
5781,A boat filled with people is sailing in the water.,10,2,3,filled|sailing,boat|people|water,val
617,Man in yellow top rides down a escalator.,8,1,3,rides,Man|top|escalator,val
932,Chefs are cooking food on a grill for a banquet after dark.,12,1,5,cooking,Chefs|food|grill|banquet|dark,val
7945,Man in bright green top eats his dinner.,8,1,3,eats,Man|top|dinner,val
510,A cat gets a shot.,5,1,2,gets,cat|shot,val
1692,Adorable dog and cat having photo session with asian girl,10,1,5,having,dog|cat|photo|session|girl,val
4156,Woman wears a baseball cap in the car.,8,1,4,wears,Woman|baseball|cap|car,val
1377,Young girl holds packages of animal crackers before putting them in a box.,13,2,5,holds|putting,girl|packages|animal|crackers|box,val
4969,Little girl gets super excited for lunch.,7,1,2,gets,girl|lunch,val
5335,A man in blue is cooking various slabs of beef on a flat cooktop.,14,1,5,cooking,man|blue|slabs|beef|cooktop,val
2768,Family having fun on Christmas day and exchanging gifts,9,2,5,having|exchanging,Family|fun|Christmas|day|gifts,val
3664,The blonde woman has a lit up birthday cake in front of her.,13,2,4,has|lit,woman|birthday|cake|front,val
3828,Girls unwrapping their Christmas gifts,5,1,3,unwrapping,Girls|Christmas|gifts,val
2777,A woman in green is checking herself out in the mirror.,11,1,3,checking,woman|green|mirror,val
3698,A woman typing on a laptop beside a jar of coffee with a straw in it.,16,1,5,typing,woman|laptop|jar|coffee|straw,val
3809,Girl giving tips how to be productive,7,1,2,giving,Girl|tips,val
6970,A woman in a lime green jacket is checking out her skin in the mirror.,15,1,5,checking,woman|lime|jacket|skin|mirror,val
8818,A girl with yellow top is chopping avocado and making a filling for sandwich.,14,2,4,chopping|making,girl|top|filling|sandwich,val
9825,Executives are rushed down a street with armed guards surrounding the area.,12,2,4,rushed|surrounding,Executives|street|guards|area,val
10150,Black and white photo of a man indicating we are listening to his audio.,14,2,3,indicating|listening,photo|man|audio,val
10302,Trump signs a bill surrounded by people.,7,1,4,surrounded,Trump|signs|bill|people,val
589,A girl in short black shorts is climbing through a moving truck over objects inside of it.,17,2,4,climbing|moving,girl|shorts|truck|objects,val
2795,Kids are posing in their school outfits before getting on the bus that drives away.,15,3,4,posing|getting|drives,Kids|school|outfits|bus,val
4920,A group of people give hugs to one another in a house.,12,1,4,give,group|people|hugs|house,val
8574,A young child gets off the school bus and is greeted by his dogs and walks to his home with his dogs following and making a fuss of him.,29,5,7,gets|greeted|walks|following|making,child|school|bus|dogs|home|dogs|fuss,val
9198,Fires are burning up the trunks of tall trees in a forest as a reporter in orange shirt reports on the situation there while emergency vehicles drive past.,28,2,12,burning|drive,Fires|trunks|trees|forest|reporter|orange|shirt|reports|situation|emergency|vehicles|past,val
353,People's feet are walking outside.,5,1,2,walking,People|feet,val
1790,Blonde teenage girl has the lights off when she vlogs alone.,11,2,2,has|vlogs,girl|lights,val
6113,There are sweeping views of the coast from a high viewpoint.,11,1,3,are,views|coast|viewpoint,val
3348,A woman wearing a stripped shirt talking about what she is going to show in her next video.,18,5,3,wearing|stripped|talking|going|show,woman|shirt|video,val
3472,A woman in a stripped top and a cap is talking on different backgrounds.,14,2,4,stripped|talking,woman|top|cap|backgrounds,val
5936,People interview and photograph fans in the street.,8,1,4,interview,People|photograph|fans|street,val
3088,Teen girl does skincare routing on the plane.,8,2,2,skincare|routing,girl|plane,val
4244,Mom and her daughter drinking wine at a restaurant,9,1,4,drinking,Mom|daughter|wine|restaurant,val
6587,Shots of the exterior of the Church Of The Savior On Blood.,12,0,5,,Shots|exterior|Church|Savior|Blood,val
9045,an elaborate green lit cathedral is shown,7,2,1,lit|shown,cathedral,val
2175,A lady talking to a little boy on the train,10,1,3,talking,lady|boy|train,val
6400,A group is making there way up stairs in the dark from a white vehicle parked nearby.,17,2,5,making|parked,group|way|stairs|dark|vehicle,val
8121,Man with purple top moves the luggage to inside the house.,11,0,4,,Man|moves|luggage|house,val
4326,A girl exploring a hotel room,6,1,3,exploring,girl|hotel|room,val
6625,A woman in white is showing off the green pool and oceanside view.,13,1,4,showing,woman|white|pool|view,val
7697,Overhead shots of a breakfast spread.,6,0,3,,shots|breakfast|spread,val
2780,A girl in aviator style sunglasses and a black sweater walking down a street with a friend.,17,1,7,walking,girl|aviator|style|sunglasses|sweater|street|friend,val
2916,A woman in a white jacket is applying makeup while talking to. A camera and then she eats.,18,3,4,applying|talking|eats,woman|jacket|makeup|camera,val
4410,A girl talking from a flight seat she just onboarded,10,2,3,talking|onboarded,girl|flight|seat,val
4590,There is a montage of fans lining up and coming to meet the blonde woman.,15,4,3,is|lining|coming|meet,montage|fans|woman,val
6193,A girl is showing her hotel room,7,1,3,showing,girl|hotel|room,val
8147,Woman in black top talks with her reflection in the window next to her.,14,0,4,,Woman|talks|reflection|window,val
8395,A woman talks and gestures with ther hands while standing in a clothes shop.,14,1,6,standing,woman|talks|gestures|hands|clothes|shop,val
8874,A lady in pink top and sunglasses is walking down the high street with her friends.,16,1,5,walking,lady|top|sunglasses|street|friends,val
